id,type,series,formation,vehicle_number,company,depot,car_count,active,note
1,car,DF200,,DF200-901,JR貨物,五稜郭機関区,1,0,
2,car,DF200,,DF200-1,JR貨物,五稜郭機関区,1,1,
3,car,DF200,,DF200-2,JR貨物,五稜郭機関区,1,1,
4,car,DF200,,DF200-3,JR貨物,五稜郭機関区,1,1,
5,car,DF200,,DF200-4,JR貨物,五稜郭機関区,1,1,
6,car,DF200,,DF200-5,JR貨物,五稜郭機関区,1,1,
7,car,DF200,,DF200-6,JR貨物,五稜郭機関区,1,1,
8,car,DF200,,DF200-7,JR貨物,五稜郭機関区,1,1,
9,car,DF200,,DF200-8,JR貨物,五稜郭機関区,1,1,
10,car,DF200,,DF200-9,JR貨物,五稜郭機関区,1,1,
11,car,DF200,,DF200-10,JR貨物,五稜郭機関区,1,1,
12,car,DF200,,DF200-11,JR貨物,五稜郭機関区,1,1,
13,car,DF200,,DF200-12,JR貨物,五稜郭機関区,1,1,
14,car,DF200,,DF200-51,JR貨物,五稜郭機関区,1,1,
15,car,DF200,,DF200-52,JR貨物,五稜郭機関区,1,1,
16,car,DF200,,DF200-53,JR貨物,五稜郭機関区,1,1,
17,car,DF200,,DF200-54,JR貨物,五稜郭機関区,1,1,
18,car,DF200,,DF200-55,JR貨物,五稜郭機関区,1,1,
19,car,DF200,,DF200-57,JR貨物,五稜郭機関区,1,1,
20,car,DF200,,DF200-58,JR貨物,五稜郭機関区,1,1,
21,car,DF200,,DF200-59,JR貨物,五稜郭機関区,1,1,
22,car,DF200,,DF200-60,JR貨物,五稜郭機関区,1,1,
23,car,DF200,,DF200-61,JR貨物,五稜郭機関区,1,1,
24,car,DF200,,DF200-62,JR貨物,五稜郭機関区,1,1,
25,car,DF200,,DF200-63,JR貨物,五稜郭機関区,1,1,
26,car,DF200,,DF200-101,JR貨物,五稜郭機関区,1,1,
27,car,DF200,,DF200-102,JR貨物,五稜郭機関区,1,1,
28,car,DF200,,DF200-103,JR貨物,五稜郭機関区,1,1,
29,car,DF200,,DF200-104,JR貨物,五稜郭機関区,1,1,
